displayName,aliases,active,notes
PAID (SETTLEMENT),CLOSE FILE - PAID AFTER SETTLEMENT;CLOSE FILE - PAID AFTER AAA SETTLEMENT;SETTLEMENT STIP - SIGNED STIP RECD;SETTLED PER CLIENT IN BULK WITH PROGRESSIVE;PRE-LIT SETTLEMENT NEGOTIATED;AAA-CONSENT AWARD;AAA CASE SETTLED;MAIN CASE PAID AFTER SETTLEMENT,TRUE,"existing; 8 src variants, 151,404 rows, 8 aliases"
PAID (VOLUNTARY),PAID AND CLOSED;BILLING-PARTIALLY PAID;CLOSE FILE  - PAID;CLOSE FILE - PAID IN FULL;PAID IN FULL - NO INDEX;CLOSED PAID IN FULL;AAA-PARTIALLY PAID,TRUE,"existing; 7 src variants, 43,460 rows, 7 aliases"
PAID (FEE SCHEDULE),CLOSE FILE - PAID PER FEE SCHEDULE;CLOSE FILE - PAID PER ANGELO FEE SCHEDULE,TRUE,"existing; 2 src variants, 16,818 rows, 2 aliases"
PAID (DECISION),CLOSE FILE - PAID AFTER DECISION;CLOSE FILE - PAID AFTER WINNING AAA DECISION;CLOSE FILE - PAID AFTER WINNING DECISION;CLOSE FILE - PAID AFTER DECISION - PARTIAL WIN;CLOSED PAID AFTER DECISION;AAA - ARBITRATION AWARD RECEIVED - PARTIAL WIN;AAA - ARBITRATION AWARD RECEIVED - WIN,TRUE,"existing; 7 src variants, 14,472 rows, 7 aliases"
DISCONTINUED WITH PREJUDICE,DISCONTINUED - ENTIRE INDEX#;DISCONTINUED - ENTIRE INDEX - WITH PREJUDICE;CLOSE FILE - DISCONTINUE PER DJ,TRUE,"existing; 4 src variants, 10,600 rows, 3 aliases"
POLICY EXHAUSTED/NO COVERAGE,CLOSE FILE - POLICY EXHAUSTED;CLOSE FILE - MVIAC NOT QUALIFIED;CLOSE FILE - NO COVERAGE;CLOSE FILE - NO POLICY;CLOSE FILE - NO COVERAGE - SENT TO CLIENT;CLOSE FILE - DEDUCTABLE APPLIED;MVAIC - NOT QUALIFIED;CLOSE FILE - PER JOAQ FOR LACK OF COVERAGE,TRUE,"existing; 8 src variants, 6,844 rows, 8 aliases"
PER CLIENT,Discontinued Per Client;CLOSE FILE - PER CLIENT;CLOSE FILE - PER ANGELO;CLOSED FILE - RETURNED TO CLIENT;CLOSE FILE - SENT FILE BACK TO CLIENT;CLOSE FILE - NOT COST EFFECTIVE;CLOSE FILE - PER JOAQUIN;CLOSED PER CLIENT;CLOSE FILE - REJECTED NEW LITIGATION-BACK TO CLIENT;CLOSE FILE - SUB FILE FOR CURRENT SUFFOLK CASE;CLOSE FILE - COMPANION FILES LOST IN AAA,TRUE,"existing; 11 src variants, 4,323 rows, 11 aliases"
TRANSFERRED TO LB,,TRUE,"existing; 1 src variants, 2,589 rows, 0 aliases"
TRIAL LOSS,DECISION - TRIAL - LOSS,TRUE,"existing; 1 src variants, 2,400 rows, 1 aliases"
AAA- DECISION- DISMISSED WITH PREJUDICE,AAA - DECISION - LOSS;CLOSE FILE - LOSING AAA AWARD;AAA-DISMISSED WITH PREJUDICE;AAA - MASTER ARBITRATION AWARD - AFFIRMED - LOSS;DECISION - AAA MASTER ARBITRATION - LOSS,TRUE,"existing; 5 src variants, 2,247 rows, 5 aliases"
