Source,Count,Canonical,Kind,Note
CLOSE FILE - PAID AFTER SETTLEMENT,145769,PAID (SETTLEMENT),MAP,-> existing
PAID AND CLOSED,34266,PAID (VOLUNTARY),MAP,-> existing
CLOSE FILE - PAID PER FEE SCHEDULE,16057,PAID (FEE SCHEDULE),MAP,-> existing
CLOSE FILE - PAID AFTER DECISION,13709,PAID (DECISION),MAP,-> existing
DISCONTINUED WITH PREJUDICE,10521,DISCONTINUED WITH PREJUDICE,MAP,-> existing
CLOSE FILE - PAID AFTER AAA SETTLEMENT,5153,PAID (SETTLEMENT),MAP,-> existing
BILLING-PARTIALLY PAID,4718,PAID (VOLUNTARY),MAP,-> existing
CLOSE FILE - POLICY EXHAUSTED,4021,POLICY EXHAUSTED/NO COVERAGE,MAP,-> existing
CLOSE FILE  - PAID,2761,PAID (VOLUNTARY),MAP,-> existing
Discontinued Per Client,2675,PER CLIENT,MAP,-> existing
TRANSFERRED TO LB,2589,TRANSFERRED TO LB,MAP,-> existing
DECISION - TRIAL - LOSS,2400,TRIAL LOSS,MAP,-> existing
AAA - DECISION - LOSS,2220,AAA- DECISION- DISMISSED WITH PREJUDICE,MAP,-> existing
CLOSE FILE - MVIAC NOT QUALIFIED,1853,POLICY EXHAUSTED/NO COVERAGE,MAP,MVAIC -> Policy Exhausted/No Coverage (rename to add /MVAIC post-import)
CLOSE FILE - PAID IN FULL,1570,PAID (VOLUNTARY),MAP,-> existing
CLOSE FILE - PER CLIENT,1262,PER CLIENT,MAP,-> existing
AAA-WITHDRAWN WITH PREJUDICE,1196,AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,MAP,-> existing
BILL SUBMITTED TO CARRIER,980,,DROP,dropped: workflow stage / no disposition
CLOSE FILE - PAID AFTER JUDGMENT VIA MARSHAL,943,PAID (JUDGMENT),MAP,-> existing
CLOSE FILE - PAID PER ANGELO FEE SCHEDULE,761,PAID (FEE SCHEDULE),MAP,-> existing
CLOSE FILE - NO COVERAGE,735,POLICY EXHAUSTED/NO COVERAGE,MAP,-> existing
NEW INTAKE - NEEDS TO BE REVIEWED FOR CLUSTERING,672,,DROP,dropped: workflow stage / no disposition
CLOSE FILE - DUPLICATE,617,DUPLICATE,MAP,NEW close reason
AAA - WITHDRAWN WITHOUT PREJUDICE,506,OTHER,MAP,NEW close reason
CLOSE FILE - OUT OF STATE CARRIER,435,OUT OF STATE CARRIER,MAP,-> existing
DISCONTINUED WITHOUT PREJUDICE,389,DISCONTINUED WITHOUT PREJUDICE,MAP,NEW close reason
CLOSE FILE - PAID AFTER WINNING AAA DECISION,349,PAID (DECISION),MAP,-> existing
AAA - DISMISSED WITHOUT PREJUDICE - REVIEWED AND CLOSED,328,OTHER,MAP,NEW close reason
SETTLEMENT STIP - SIGNED STIP RECD,312,PAID (SETTLEMENT),MAP,-> existing
DECISION - MOTION - LOSS,310,MOTION LOSS,MAP,-> existing
TRIAL,283,,DROP,dropped: workflow stage / no disposition
CLOSE FILE - WORKERS COMP,278,WORKERS COMPENSATION,MAP,-> existing
CLOSE FILE - PAID AFTER WINNING DECISION,216,PAID (DECISION),MAP,-> existing
BILL RE-SUBMITTED TO CARRIER,214,,DROP,dropped: workflow stage / no disposition
AAA-WITHDRAWN WITHOUT PREJUDICE,209,OTHER,MAP,NEW close reason
DECISION - LOSS,208,MOTION LOSS,MAP,-> existing
CLOSE FILE - NO POLICY,203,POLICY EXHAUSTED/NO COVERAGE,MAP,-> existing
DISCONTINUED - NEEDS TO BE RESUED,167,,DROP,dropped: workflow stage / no disposition
DISMISSED WITH PREJUDICE BY COURT,140,OTHER,MAP,NEW close reason
CARRIER IN LIQUIDATION,126,CARRIER IN LIQUIDATION,MAP,NEW close reason
DISMISSED WITHOUT PREJUDICE BY COURT,120,OTHER,MAP,NEW close reason
CLOSE FILE - PER ANGELO,117,PER CLIENT,MAP,-> existing
PAID IN FULL - NO INDEX,117,PAID (VOLUNTARY),MAP,-> existing
CLOSE FILE - PAID AFTER DECISION - PARTIAL WIN,116,PAID (DECISION),MAP,-> existing
SETTLED PER CLIENT IN BULK WITH PROGRESSIVE,116,PAID (SETTLEMENT),MAP,-> existing
AAA-DISMISSED WITHOUT PREJUDICE,87,OTHER,MAP,NEW close reason
